# File: ETSAP_gas_cost_range.csv
# Title: Estimates for natural gas production costs by grade
# Units: 2008$/GJ
# Comments: Data from ETSAP brief; TODO: track down to original source
# Column types: cnn
# ----------
type,low_cost,high_cost
conventional gas,2,5.7
coalbed methane,3.8,7.6
shale gas,3.8,8.6
tight gas,2.6,7.6
