# File: A10.fossil_subsector_shrwt.csv
# Title: subsector shareweights at points of inflexion
# Units: unitless
# Source: None (GCAM assumptions)
# Column types: ccccn
# ----------
region,supplysector,subsector,year,share.weight
USA,regional natural gas,imported natural gas,2015,0.1
USA,regional natural gas,imported natural gas,2050,0
USA,regional natural gas,imported natural gas,end-year,0
USA,regional oil,imported crude oil,2015,0.1
USA,regional oil,imported crude oil,2050,0
USA,regional oil,imported crude oil,end-year,0
USA,regional coal,imported coal,2015,0.1
USA,regional coal,imported coal,2050,0
USA,regional coal,imported coal,end-year,0
